texto,calificacion,lugar,categoria,fuente,idioma_comentario,comentarios_espanol,emojis
"La ubicación fue lo mejor a pesar del ruido de la carretera que estaba al costado de las habitaciones El trato del personal que atiende en el comedor es pésimo y por 8 dólares el desayuno, mejor lo evito y como fuera.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"La ubicación fue lo mejor a pesar del ruido de la carretera que estaba al costado de las habitaciones El trato del personal que atiende en el comedor es pésimo y por 8 dólares el desayuno, mejor lo evito y como fuera.",
"El hotel superó las expectativas, muy bonitas las instalaciones con espacios separados para mayor privacidad y mucha vegetación, los desayunos muy buenos; y las habitaciones super cómodas. Como un punto de mejora en las habitaciones donde el inodoro esta aparte de la ducha podrían colocar una puerta a la ducha y así poder usar ambos espacios simultáneamente.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El hotel superó las expectativas, muy bonitas las instalaciones con espacios separados para mayor privacidad y mucha vegetación, los desayunos muy buenos; y las habitaciones super cómodas. Como un punto de mejora en las habitaciones donde el inodoro esta aparte de la ducha podrían colocar una puerta a la ducha y así poder usar ambos espacios simultáneamente.",
El ambiente y el personal Todo excelente,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,El ambiente y el personal Todo excelente,
"Desde la habitación hemos visto unas vistas maravillosas al volcán, con suerte despejado. Los colibrí comiendo en las flores justo delante nuestra..tucanes y el personal muy agradable",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Desde la habitación hemos visto unas vistas maravillosas al volcán, con suerte despejado. Los colibrí comiendo en las flores justo delante nuestra..tucanes y el personal muy agradable",
Increíble todo! El personal un AMOR Asienore dispuestos a colaborar! El hotel SÚPER relajado! Impecable con una lugar para tomar un café o té cortesía del alojamiento divino! Con animales a tu alrededores disfrutable al máximo! NADA,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Increíble todo! El personal un AMOR Asienore dispuestos a colaborar! El hotel SÚPER relajado! Impecable con una lugar para tomar un café o té cortesía del alojamiento divino! Con animales a tu alrededores disfrutable al máximo! NADA,
"La habitación privada fue genial, con un porchecito para disfrutar de las vistas. El baño, la cama súper grande y cómoda hicieron que estuviéramos muy cómodos En el desayuno hacían esperar bastante. No vayas con prisa",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"La habitación privada fue genial, con un porchecito para disfrutar de las vistas. El baño, la cama súper grande y cómoda hicieron que estuviéramos muy cómodos En el desayuno hacían esperar bastante. No vayas con prisa",
"La vista es excelente
EL baño de la habitacion muy grande
Comodidad de la cama No tiene desayuno incluido",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"La vista es excelente
EL baño de la habitacion muy grande
Comodidad de la cama No tiene desayuno incluido",
"Ubicación, servicio al cliente, la habitación con cómoda muy cómoda y el desayuno muy rico",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Ubicación, servicio al cliente, la habitación con cómoda muy cómoda y el desayuno muy rico",
"El alojamiento está bien ubicado, cercano a todo. La atención del personal fue excelente en todo momento, en especial Elizabeth, quien respondió todas nuestras dudas. En la mañana sirven un buen desayuno por 8 dólares. Las habitaciones están un poco antiguas, les falta una remodelación. Por ejemplo, el aire acondicionado emite mucho ruido.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El alojamiento está bien ubicado, cercano a todo. La atención del personal fue excelente en todo momento, en especial Elizabeth, quien respondió todas nuestras dudas. En la mañana sirven un buen desayuno por 8 dólares. Las habitaciones están un poco antiguas, les falta una remodelación. Por ejemplo, el aire acondicionado emite mucho ruido.",
"La limpieza No incluye desayuno, y el café que se ofrece no queda en el frasco",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"La limpieza No incluye desayuno, y el café que se ofrece no queda en el frasco",
Me encantó. Fui con mi familia y superó con creces lo que esperábamos del sitio.,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Me encantó. Fui con mi familia y superó con creces lo que esperábamos del sitio.,
"El hotel superó mis expectativas. Tiene un jardín enorme, las habitaciones son muy grandes y tranquilas. Tiene diversas zonas: de juegos, piscina con jacuzzi, pequeña cocina para tomar café, etc. El personal de recepción muy amable. Está situado a unos dos kilómetros del centro, por lo que es muy tranquilo. También hay varios restaurantes por la zona.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El hotel superó mis expectativas. Tiene un jardín enorme, las habitaciones son muy grandes y tranquilas. Tiene diversas zonas: de juegos, piscina con jacuzzi, pequeña cocina para tomar café, etc. El personal de recepción muy amable. Está situado a unos dos kilómetros del centro, por lo que es muy tranquilo. También hay varios restaurantes por la zona.",
"Me gustaron las instalaciones, la comodidad y estar rodeado de verde . Se puede disfrutar de las mañanas donde el sonido de los pájaros es la mejor melodía para desconectarse. Además el personal es muy amable, seguramente volveré!",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Me gustaron las instalaciones, la comodidad y estar rodeado de verde . Se puede disfrutar de las mañanas donde el sonido de los pájaros es la mejor melodía para desconectarse. Además el personal es muy amable, seguramente volveré!",
"Muy cómodo, tiene un área para poder calentar agua, hacer café, licuados, disponible las 24hs.
Destaco la amabilidad y calidez de Elizabeth, trabaja en recepción, fue un encanto conocerla",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Muy cómodo, tiene un área para poder calentar agua, hacer café, licuados, disponible las 24hs.
Destaco la amabilidad y calidez de Elizabeth, trabaja en recepción, fue un encanto conocerla",
"Todo, es muy linda Se escuchaba mucho entre habitaciones",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Todo, es muy linda Se escuchaba mucho entre habitaciones",
La ubicación y sobre todo el hotel en si que parece sacado de una película Por ahí que no se pueda pagar con tarjeta y sea solo efectivo. Nada más!,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,La ubicación y sobre todo el hotel en si que parece sacado de una película Por ahí que no se pueda pagar con tarjeta y sea solo efectivo. Nada más!,
Excelente ubicación e instalaciones,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Excelente ubicación e instalaciones,
"Este hotel es de lo mejor de la Fortuna. Las habitaciones son muy lindas y limpias. La piscina está limpia, tiene jacuzzi y otras amenidades. Lleno de arbolitos y naturaleza.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Este hotel es de lo mejor de la Fortuna. Las habitaciones son muy lindas y limpias. La piscina está limpia, tiene jacuzzi y otras amenidades. Lleno de arbolitos y naturaleza.",
"Qué joya de lugar! Cerca del centro de La Fortuna, una habitación enorme con una cama gigante, piscina, jacuzzi, desayuno super barato y rico…excelente servicio también. Súper recomendado! Nada! Todo nos encantó 😃",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Qué joya de lugar! Cerca del centro de La Fortuna, una habitación enorme con una cama gigante, piscina, jacuzzi, desayuno super barato y rico…excelente servicio también. Súper recomendado! Nada! Todo nos encantó",😃
"El personal es súper amable Uufffffff demasiado lindas las habitaciones y el cuidado de los jardines 
Todo todo limpio y en orden",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El personal es súper amable Uufffffff demasiado lindas las habitaciones y el cuidado de los jardines 
Todo todo limpio y en orden",
"Los jardines, la piscina, laa vistas al volcán...la responsable del establecimiento Nada",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Los jardines, la piscina, laa vistas al volcán...la responsable del establecimiento Nada",
"Camas, hotel muy bonito, personal muy amable. No funcionaba nada bien el wifi desde la habitación ni en la mayoría de puntos del complejo.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Camas, hotel muy bonito, personal muy amable. No funcionaba nada bien el wifi desde la habitación ni en la mayoría de puntos del complejo.",
"Preciosos bungalows e instalaciones. El personal súper amable y atento, prestaban todo tipo de ayuda y recomendación. Ubicación perfecta para ir a la catarata y al volcán arenal.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Preciosos bungalows e instalaciones. El personal súper amable y atento, prestaban todo tipo de ayuda y recomendación. Ubicación perfecta para ir a la catarata y al volcán arenal.",
"La habitaciones impecables, espaciosa, cama súper confortable todo lo necesario  para disfrutar y descansar de la mejor forma. No tengo queja alguna",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"La habitaciones impecables, espaciosa, cama súper confortable todo lo necesario  para disfrutar y descansar de la mejor forma. No tengo queja alguna",
Sí muy lindo el lugar El desayuno,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Sí muy lindo el lugar El desayuno,
"Nuestra habitación tenía una vista increíble al volcán y jardín con terraza privada. Las instalaciones de piscina y jacuzzi muy limpias pero sobre todo destacar la amabilidad de Lilibeth, nos ayudó en todo momento y estuvo pendiente de que nuestra estancia fuera lo más cómoda posible.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Nuestra habitación tenía una vista increíble al volcán y jardín con terraza privada. Las instalaciones de piscina y jacuzzi muy limpias pero sobre todo destacar la amabilidad de Lilibeth, nos ayudó en todo momento y estuvo pendiente de que nuestra estancia fuera lo más cómoda posible.",
Exquisito y muy bien servido y atentido. La tranquilidad y seguridad No tener más días para quedarme. Pero ya se a dónde volver cuando vaya por ésos lugares.,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Exquisito y muy bien servido y atentido. La tranquilidad y seguridad No tener más días para quedarme. Pero ya se a dónde volver cuando vaya por ésos lugares.,
"Espectacular todo. El jardín que rodea al hotel, las vistas del Arenal, la comodidad de la habitación cin su porchecito, la piscina y zona de juegos que le encantaron a mis hijas y la amabilidad y recomendaciones del personal.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Espectacular todo. El jardín que rodea al hotel, las vistas del Arenal, la comodidad de la habitación cin su porchecito, la piscina y zona de juegos que le encantaron a mis hijas y la amabilidad y recomendaciones del personal.",
Las areas de esparcimiento como piscina y area de juegos Que no tenia restaurante para almuerzos o cenas.,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Las areas de esparcimiento como piscina y area de juegos Que no tenia restaurante para almuerzos o cenas.,
"Nuestra habitación tenía unas preciosas vistas al jardín y al volcán, con hamaca y terraza privada. Nos encantó la piscina y sobre todo el jacuzzi, un lujo. La ubicación está bien, en coche a escasos minutos del pueblo y de las aguas termales (andando es más tiempo). El personal fue muy agradable, y disponen de cafetería y sala de juegos común No recomiendo el servicio de lavandería, fue muy caro y no nos aconsejaron irnos a otro lugar. Los tours a través del hotel creemos que también salen más caros y es mejor cogerlos por otra parte",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Nuestra habitación tenía unas preciosas vistas al jardín y al volcán, con hamaca y terraza privada. Nos encantó la piscina y sobre todo el jacuzzi, un lujo. La ubicación está bien, en coche a escasos minutos del pueblo y de las aguas termales (andando es más tiempo). El personal fue muy agradable, y disponen de cafetería y sala de juegos común No recomiendo el servicio de lavandería, fue muy caro y no nos aconsejaron irnos a otro lugar. Los tours a través del hotel creemos que también salen más caros y es mejor cogerlos por otra parte",
"Todo perfecto. Ubicación muy buena, senderos preciosos y muy bien cuidados, el entorno es paradisiaco. Buen desayuno. Mencionar especialmente la amabilidad del personal: tuvimos un contratiempo el día de llegada y Elizabeth nos ayudó con toda la paciencia y comprensión del mundo.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Todo perfecto. Ubicación muy buena, senderos preciosos y muy bien cuidados, el entorno es paradisiaco. Buen desayuno. Mencionar especialmente la amabilidad del personal: tuvimos un contratiempo el día de llegada y Elizabeth nos ayudó con toda la paciencia y comprensión del mundo.",
"El hotel es un jardin con casitas individuales para cada huesped, las habitaciones y el baño son grandes.
El desayuno muy bueno
Elisabet de la recepción muy simpatica y te ayuda en todo",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El hotel es un jardin con casitas individuales para cada huesped, las habitaciones y el baño son grandes.
El desayuno muy bueno
Elisabet de la recepción muy simpatica y te ayuda en todo",
"Muy verde lleno de flores y pajaros. Habitaciones cómodas. Sala de juegos entretenida. En el
Camino al parque nacional Arenal.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Muy verde lleno de flores y pajaros. Habitaciones cómodas. Sala de juegos entretenida. En el
Camino al parque nacional Arenal.",
"Todo, tiene mucho encanto",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Todo, tiene mucho encanto",
"Todo; el ambiente, la atención del personal, las instalaciones, la habitación, el desayuno... todo. He tenido la suerte de poder viajar por muchos países durante muchos años y he de decir que este es sin duda el mejor alojamiento en el que he estado. La cabaña en la que nos alojamos estaba muy bien cuidada; el alojamiento cuenta con zona de juego donde no le faltaba detalle, una zona de cocina donde poder sentarte a disfrutar una taza de café o té, una piscina y jacuzzi con hamacas muy bien cuidadas y por todo el alojamiento cuentas con rincones donde pasar el rato. 
Las chicas que nos atendieron fueron muy amables. 
El alojamiento cuenta con zona muy amplia donde aparcar y ofrecen desayunos que están muy ricos. 
No le pongo más de un 10 porque ese el tope, pero sin duda tendría más si fuera posible. 
Gracias por hacernos sentir como en casa 😊 No hay nada que no nos haya gustado.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Todo; el ambiente, la atención del personal, las instalaciones, la habitación, el desayuno... todo. He tenido la suerte de poder viajar por muchos países durante muchos años y he de decir que este es sin duda el mejor alojamiento en el que he estado. La cabaña en la que nos alojamos estaba muy bien cuidada; el alojamiento cuenta con zona de juego donde no le faltaba detalle, una zona de cocina donde poder sentarte a disfrutar una taza de café o té, una piscina y jacuzzi con hamacas muy bien cuidadas y por todo el alojamiento cuentas con rincones donde pasar el rato. 
Las chicas que nos atendieron fueron muy amables. 
El alojamiento cuenta con zona muy amplia donde aparcar y ofrecen desayunos que están muy ricos. 
No le pongo más de un 10 porque ese el tope, pero sin duda tendría más si fuera posible. 
Gracias por hacernos sentir como en casa  No hay nada que no nos haya gustado.",😊
La piscina,5,Hotel Roca Negra del Arenal,alojamiento,booking,unknown,La piscina,
Es un lugar  acogedor y muy familiar,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Es un lugar  acogedor y muy familiar,
Un sitio perfecto para disfrutar en familia Nada,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Un sitio perfecto para disfrutar en familia Nada,
El personal es muy amable y los senderos para las habitaciones e instalaciones están muy bien cuidados. Se puede desayunar en el hotel. Los jardines muy bonitos. El área de piscinas con buen mantenimiento.,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,El personal es muy amable y los senderos para las habitaciones e instalaciones están muy bien cuidados. Se puede desayunar en el hotel. Los jardines muy bonitos. El área de piscinas con buen mantenimiento.,
"El hotel es excepcional. Precioso, tiene una piscina y jacuzzi perfectos. Además viajamos en temporada baja con lo que la teníamos para nosotros solos. El personal del hotel bien. Wifi bien. Del desayuno no puedo opinar pero en frente hay un lugar donde sirven desayunos muy ricos. En la calle principal de la fortuna a una media hora andando al centro. El baño enorme. Tienen un lugar para hacer café o té todo el día. No es raro encontrar colibrís, iguanas, sapos o ranas en el recinto. La sala de juegos, sobre todo el billar necesitaría un poco de mantenimiento, pero esto es un detalle ínfimo. No vimos el volcán por la climatología pero eso no es culpa del hotel. :(",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El hotel es excepcional. Precioso, tiene una piscina y jacuzzi perfectos. Además viajamos en temporada baja con lo que la teníamos para nosotros solos. El personal del hotel bien. Wifi bien. Del desayuno no puedo opinar pero en frente hay un lugar donde sirven desayunos muy ricos. En la calle principal de la fortuna a una media hora andando al centro. El baño enorme. Tienen un lugar para hacer café o té todo el día. No es raro encontrar colibrís, iguanas, sapos o ranas en el recinto. La sala de juegos, sobre todo el billar necesitaría un poco de mantenimiento, pero esto es un detalle ínfimo. No vimos el volcán por la climatología pero eso no es culpa del hotel. :(",
Muy limpio y cómodo Nada a destacar,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Muy limpio y cómodo Nada a destacar,
Ubicación perfecta y super limpio Quizás puede mejorar la conexión de Internet para poder trabajar remoto,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Ubicación perfecta y super limpio Quizás puede mejorar la conexión de Internet para poder trabajar remoto,
"Es muy limpio todo, muy familiar, rodeado de naturaleza de verdad 10 de 10 en todo y el personal del hotel muy amigables Todo excelente",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Es muy limpio todo, muy familiar, rodeado de naturaleza de verdad 10 de 10 en todo y el personal del hotel muy amigables Todo excelente",
"Las instalaciones son muy bonitas, el comedor, la piscina, la sala de juegos etc Todo muy bien",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Las instalaciones son muy bonitas, el comedor, la piscina, la sala de juegos etc Todo muy bien",
"Hemos estado solo una noche, pero el hotel es muy bonito y está muy bien cuidado. Habitaciones muy amplias, una especie de casitas con su propio jardín y espacio para dejar el coche. 
Lo que más me gustó fue el baño, enorme y con una ducha super cómoda. Poca oferta gastronómica",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Hemos estado solo una noche, pero el hotel es muy bonito y está muy bien cuidado. Habitaciones muy amplias, una especie de casitas con su propio jardín y espacio para dejar el coche. 
Lo que más me gustó fue el baño, enorme y con una ducha super cómoda. Poca oferta gastronómica",
"Excelente para descansar. No avisaron antes que no había datáfono y no andaba efectivo, y escribieron antes de que yo llegara, hubieran avisado que no había Datáfono.
Las almohadas ya muy usadas.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Excelente para descansar. No avisaron antes que no había datáfono y no andaba efectivo, y escribieron antes de que yo llegara, hubieran avisado que no había Datáfono.
Las almohadas ya muy usadas.",
El lugar Todo estuvo bueno,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,El lugar Todo estuvo bueno,
"Tremendo lugar para alojarse en las afueras de La Fortuna, una de las mejores ideas por cierto que puedes tener si te dejas caer por allí. Alojamiento estilo cabaña/bungalow rodeada de exuberantes jardines y con privilegiadas vistas (nubes mediante) al Volcán Arenal. Piscina, aparcamiento privado y desayuno potestativo (sin mucho entusiasmo por que lo elijas). A 20 metros -literal- de la mayor tienda de souvenirs que vimos en nuestro viaje a Costa Rica. Si no encuentras allí lo que buscas, no existe. Se oye un poco el ruido de los camiones que pasan por la carretera, pero teniendo en cuenta la distancia a la que está, poco se oye.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Tremendo lugar para alojarse en las afueras de La Fortuna, una de las mejores ideas por cierto que puedes tener si te dejas caer por allí. Alojamiento estilo cabaña/bungalow rodeada de exuberantes jardines y con privilegiadas vistas (nubes mediante) al Volcán Arenal. Piscina, aparcamiento privado y desayuno potestativo (sin mucho entusiasmo por que lo elijas). A 20 metros -literal- de la mayor tienda de souvenirs que vimos en nuestro viaje a Costa Rica. Si no encuentras allí lo que buscas, no existe. Se oye un poco el ruido de los camiones que pasan por la carretera, pero teniendo en cuenta la distancia a la que está, poco se oye.",
"La habitación muy acogedora y limpia, pero sin duda lo mejor eran las vistas al volcán arenal. La atención del personal de 10, muy amigables y atentas con nosotros durante toda la estancia.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"La habitación muy acogedora y limpia, pero sin duda lo mejor eran las vistas al volcán arenal. La atención del personal de 10, muy amigables y atentas con nosotros durante toda la estancia.",
"El lugar es hermosos, si siente como en casa todo bien limpio y las vistas hermosas Nada, todo es perfecto",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El lugar es hermosos, si siente como en casa todo bien limpio y las vistas hermosas Nada, todo es perfecto",
No hubo desayuno!,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,No hubo desayuno!,
Las fotos no hacen justicia de la belleza de lugar!!! Es precioso!! Como tica.. diría que el pinto del restaurante podría mejorar…,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Las fotos no hacen justicia de la belleza de lugar!!! Es precioso!! Como tica.. diría que el pinto del restaurante podría mejorar…,
"Un excelente Lugar para descansar, en medio de la Naturaleza sin nada de Ruido.
Lo recomiendo al 100%",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Un excelente Lugar para descansar, en medio de la Naturaleza sin nada de Ruido.
Lo recomiendo al 100%",
"Personal muy amable.
Estupendas vistas al volcan.
Buen desayuno.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Personal muy amable.
Estupendas vistas al volcan.
Buen desayuno.",
"Es precioso y muy cómodo, la señora Elizabeth hace todo lo posible por ayudarte  a tener una buena estancia Sus instalaciones y limpieza",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Es precioso y muy cómodo, la señora Elizabeth hace todo lo posible por ayudarte  a tener una buena estancia Sus instalaciones y limpieza",
"La atención del personal de recepción es de 10, muy atentos y amables. Solo estuvimos dos días pero nos habríamos quedado más tiempo: tiene piscina, zona de juegos, billar… Está muy bien situado, cerca de restaurantes y del parque volcán arenal. Los jardines son preciosos. Se respira tranquilidad. Que solo admitieran pago en efectivo.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"La atención del personal de recepción es de 10, muy atentos y amables. Solo estuvimos dos días pero nos habríamos quedado más tiempo: tiene piscina, zona de juegos, billar… Está muy bien situado, cerca de restaurantes y del parque volcán arenal. Los jardines son preciosos. Se respira tranquilidad. Que solo admitieran pago en efectivo.",
"Las habitaciones nuevas son una pasada, el entorno del hotel es precioso y el personal muy amable. Un gusto habernos alojado allí La segunda noche cambiamos de habitación y no era de las nuevas y se notaba, aún así era muy buena",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Las habitaciones nuevas son una pasada, el entorno del hotel es precioso y el personal muy amable. Un gusto habernos alojado allí La segunda noche cambiamos de habitación y no era de las nuevas y se notaba, aún así era muy buena",
Todo y especialmente la vista  desde la cabaña Las luces blancas en la habitación . Con una iluminación cálida sería más agradable. También estaría bien más iluminación en el espejo del baño,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Todo y especialmente la vista  desde la cabaña Las luces blancas en la habitación . Con una iluminación cálida sería más agradable. También estaría bien más iluminación en el espejo del baño,
"Excelente lugar, muchas gracias, súper recomendado Todo bien",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Excelente lugar, muchas gracias, súper recomendado Todo bien",
"El lugar muy acogedor, limpio, habitacion y baño muy cómodos y amplios. Tenían café y agua caliente para ser utilizado siempre. La piscina y jacuzzi impecables. A una temperatura exquisita",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El lugar muy acogedor, limpio, habitacion y baño muy cómodos y amplios. Tenían café y agua caliente para ser utilizado siempre. La piscina y jacuzzi impecables. A una temperatura exquisita",
El trato del personal. La limpieza y las camas Todo me gusto,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,El trato del personal. La limpieza y las camas Todo me gusto,
El trato y la limpieza Todo me gusto,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,El trato y la limpieza Todo me gusto,
Muy buena disposición del personal y hermosa habitación Todo me gustó,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,Muy buena disposición del personal y hermosa habitación Todo me gustó,
"El lugar, las instalaciones y la excelente atención de su personal.",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El lugar, las instalaciones y la excelente atención de su personal.",
"Lo amplio de la habitación, ventanales amplios, muy confortable, ropa de cama bien limpia y blanquita al igual que los paños, almohadas cómodas, aire acondicionado, TV, e internet con buen alcance para poder trabajar durante la noche o en la mañana antes de salir a la jornada laboral. Realmente no me disgustó nada… todo estuvo bastante bien. Quizá lo único uniera sido que la tarifa incluyera el desayuno como en otros hoteles de la zona con un precio similar",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Lo amplio de la habitación, ventanales amplios, muy confortable, ropa de cama bien limpia y blanquita al igual que los paños, almohadas cómodas, aire acondicionado, TV, e internet con buen alcance para poder trabajar durante la noche o en la mañana antes de salir a la jornada laboral. Realmente no me disgustó nada… todo estuvo bastante bien. Quizá lo único uniera sido que la tarifa incluyera el desayuno como en otros hoteles de la zona con un precio similar",
Ambiente,5,Hotel Roca Negra del Arenal,alojamiento,booking,unknown,Ambiente,
"Todo estuvo muy limpio, desayuno muy rico. .",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"Todo estuvo muy limpio, desayuno muy rico. .",
La tranquilidad,5,Hotel Roca Negra del Arenal,alojamiento,booking,unknown,La tranquilidad,
"El trato de Elizabeth fue excepcional. La habitación tenía preciosas vistas al volcán, muy espaciosa. El desayuno muy rico. Recinto muy agradable. Tiene parking dentro",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"El trato de Elizabeth fue excepcional. La habitación tenía preciosas vistas al volcán, muy espaciosa. El desayuno muy rico. Recinto muy agradable. Tiene parking dentro",
"La naturaleza , la amplitud , todas las instalaciones y el jacuzzi",5,Hotel Roca Negra del Arenal,alojamiento,booking,es,"La naturaleza , la amplitud , todas las instalaciones y el jacuzzi",
La tranquilidad del lugar No había gente atendiendo en recepción cuando llegamos,5,Hotel Roca Negra del Arenal,alojamiento,booking,es,La tranquilidad del lugar No había gente atendiendo en recepción cuando llegamos,
